file	obj	non_def	iter	time	best_time
30_0.4_k3_600	9	0	217	601.573	0
30_0.4_k3_700	9	0	230	602.763	0
30_0.4_k3_800	9	0	234	602.262	0
30_0.4_k3_900	9	0	228	603.504	0
30_0.4_k4_100	11	0	40	612.527	0
30_0.4_k4_1000	11	0	35	616.141	0
30_0.4_k4_200	11	0	38	606.628	0
30_0.4_k4_300	11	0	39	612.097	0
30_0.4_k4_400	11	0	40	618.541	0
30_0.4_k4_500	11	0	37	605.766	0
30_0.4_k4_600	11	0	36	606.678	0
30_0.4_k4_700	11	0	37	603.265	0
30_0.4_k4_800	11	0	38	605.469	0
30_0.4_k4_900	11	0	36	622.865	0
30_0.4_k5_100	13	0	15	604.014	0
30_0.4_k5_1000	13	0	15	600.199	0
30_0.4_k5_200	13	0	14	621.228	0
30_0.4_k5_300	13	0	15	649.202	0
30_0.4_k5_400	13	0	14	634.87	0
30_0.4_k5_500	13	0	16	668.672	0
30_0.4_k5_600	13	0	14	601.273	0
30_0.4_k5_700	13	0	14	609.462	0
30_0.4_k5_800	13	0	16	625.566	0
30_0.4_k5_900	13	0	10	602.939	0
30_0.5_k2_100	8	0	4819	600.109	3.555
30_0.5_k2_1000	8	0	4932	600.144	3.635
30_0.5_k2_200	8	0	4945	600.105	1.96
30_0.5_k2_300	8	0	4950	600.005	4.249
30_0.5_k2_400	8	0	4875	600.099	2.824
30_0.5_k2_500	8	0	4920	600.07	5.824
